ID;Año;Región;País;Edad;Profesión;Ingresos_Anuales_USD;Clase_Social;Tiene_Familia;Tamaño_Familia;Tipo_Inversión;Monto_Invertido_USD;Frecuencia_Inversión;Riesgo_Inversión;Motivo_Inversión
22;2024;Norteamérica;Estados Unidos;22;Médico;316039;Alta;Sí;4;Criptomonedas;9582;Mensual;Bajo;Ganancia Rápida
23;2024;América Latina;Colombia;43;Abogado;214779;Alta;Sí;4;Acciones;34330;Anual;Alto;Diversificación
24;2022;Europa;Reino Unido;50;Médico;92563;Media;Sí;7;Criptomonedas;14307;Mensual;Alto;Ganancia Rápida
25;2023;Europa;Francia;33;Programador;82410;Media;No;0;Bonos;35817;Mensual;Alto;Diversificación
26;2022;Norteamérica;Canadá;54;Empresario;101719;Alta;Sí;6;Acciones;41575;Anual;Medio;Retiro
27;2024;América Latina;México;52;Programador;366627;Alta;Sí;3;Fondos Mutuos;67212;Semestral;Alto;Diversificación
28;2024;Norteamérica;Estados Unidos;39;Profesor;99534;Media;No;0;Acciones;42984;Mensual;Alto;Retiro
29;2022;Europa;Francia;37;Profesor;68550;Media;Sí;1;Criptomonedas;12267;Anual;Bajo;Diversificación
30;2024;América Latina;Chile;35;Diseñador;471260;Alta;Sí;4;Criptomonedas;47701;Mensual;Bajo;Ahorro
31;2023;Europa;Reino Unido;46;Empresario;493424;Alta;No;0;Fondos Mutuos;46244;Mensual;Bajo;Retiro
32;2023;Norteamérica;Estados Unidos;48;Diseñador;142619;Alta;Sí;1;Inmobiliario;5104;Mensual;Bajo;Retiro
33;2022;América Latina;México;39;Diseñador;293526;Alta;Sí;2;Criptomonedas;10006;Mensual;Medio;Ahorro
34;2024;Europa;Alemania;56;Profesor;375639;Alta;Sí;1;Bonos;37413;Mensual;Bajo;Ganancia Rápida
35;2023;Norteamérica;Estados Unidos;39;Profesor;293619;Alta;Sí;2;Bonos;3208;Anual;Alto;Diversificación
36;2024;América Latina;Brasil;44;Empresario;85771;Media;Sí;2;Inmobiliario;18595;Semestral;Medio;Ganancia Rápida
37;2023;América Latina;México;51;Programador;199391;Alta;No;0;Acciones;72806;Anual;Medio;Diversificación
38;2022;Norteamérica;Canadá;41;Contador;374828;Alta;Sí;7;Fondos Mutuos;65029;Semestral;Bajo;Ganancia Rápida
39;2024;Europa;Alemania;44;Estudiante;467906;Alta;Sí;6;Inmobiliario;38611;Mensual;Alto;Ahorro
40;2023;Europa;Alemania;51;Contador;357917;Alta;Sí;2;Criptomonedas;47260;Semestral;Bajo;Ahorro
41;2023;América Latina;Argentina;37;Abogado;118376;Alta;No;0;Acciones;37022;Semestral;Bajo;Ahorro
42;2022;Norteamérica;Estados Unidos;42;Ingeniero;283846;Alta;Sí;4;Inmobiliario;31182;Mensual;Alto;Ahorro
43;2024;Europa;Francia;36;Ingeniero;204890;Alta;No;0;Bonos;53469;Semestral;Bajo;Retiro
44;2024;Europa;Francia;37;Empresario;452745;Alta;Sí;2;Bonos;18107;Mensual;Bajo;Ahorro
45;2024;América Latina;Argentina;39;Abogado;246217;Alta;Sí;5;Bonos;52517;Semestral;Medio;Retiro
46;2024;América Latina;Argentina;59;Profesor;223739;Alta;Sí;1;Fondos Mutuos;15085;Mensual;Medio;Retiro
47;2022;Norteamérica;Canadá;39;Empresario;234055;Alta;No;0;Bonos;90045;Anual;Bajo;Ganancia Rápida
48;2022;Norteamérica;Estados Unidos;36;Ingeniero;12871;Baja;Sí;1;Criptomonedas;4148;Anual;Alto;Ganancia Rápida
49;2023;Norteamérica;Canadá;44;Estudiante;192806;Alta;Sí;7;Criptomonedas;3873;Mensual;Alto;Ahorro
50;2024;Norteamérica;Canadá;37;Diseñador;491753;Alta;Sí;3;Inmobiliario;40715;Mensual;Medio;Ahorro
51;2024;América Latina;Argentina;38;Ingeniero;235665;Alta;Sí;4;Acciones;26389;Semestral;Bajo;Ahorro
52;2023;Europa;España;27;Arquitecto;145046;Alta;No;0;Inmobiliario;41357;Anual;Bajo;Ahorro
53;2023;Europa;Reino Unido;40;Ingeniero;283866;Alta;Sí;2;Acciones;1349;Semestral;Bajo;Diversificación
54;2024;Europa;España;63;Estudiante;495822;Alta;Sí;5;Criptomonedas;61959;Mensual;Bajo;Ahorro
55;2023;Europa;Reino Unido;34;Programador;475477;Alta;Sí;7;Bonos;22355;Mensual;Medio;Ahorro
56;2023;Europa;España;57;Estudiante;109634;Alta;Sí;3;Fondos Mutuos;17400;Anual;Alto;Ahorro
57;2024;Norteamérica;Estados Unidos;35;Arquitecto;159422;Alta;Sí;5;Inmobiliario;13079;Anual;Medio;Diversificación
58;2022;Norteamérica;Canadá;61;Contador;150875;Alta;Sí;6;Fondos Mutuos;39894;Semestral;Alto;Retiro
59;2022;Europa;España;20;Programador;355844;Alta;Sí;4;Criptomonedas;26038;Semestral;Medio;Retiro
60;2023;América Latina;Chile;40;Arquitecto;81013;Media;Sí;6;Criptomonedas;25539;Anual;Alto;Retiro
61;2024;América Latina;Argentina;20;Contador;293694;Alta;No;0;Bonos;49030;Anual;Medio;Ahorro
62;2024;Norteamérica;Canadá;37;Contador;300834;Alta;Sí;4;Criptomonedas;98766;Mensual;Bajo;Diversificación
63;2023;Norteamérica;Estados Unidos;45;Programador;407255;Alta;Sí;5;Inmobiliario;12011;Semestral;Medio;Retiro
64;2024;América Latina;Chile;44;Programador;336201;Alta;Sí;4;Bonos;52242;Mensual;Medio;Ganancia Rápida
65;2024;Norteamérica;Canadá;24;Abogado;459718;Alta;Sí;7;Inmobiliario;88955;Mensual;Bajo;Diversificación
66;2024;Europa;Francia;44;Diseñador;236820;Alta;Sí;6;Inmobiliario;67588;Semestral;Bajo;Ganancia Rápida
67;2022;América Latina;Brasil;42;Arquitecto;195993;Alta;No;0;Inmobiliario;80035;Semestral;Alto;Ganancia Rápida
68;2023;Norteamérica;Estados Unidos;40;Empresario;324731;Alta;Sí;2;Inmobiliario;82334;Mensual;Bajo;Retiro
69;2023;Norteamérica;Canadá;52;Abogado;206383;Alta;Sí;3;Acciones;57500;Semestral;Alto;Ahorro
70;2022;América Latina;Chile;56;Médico;464917;Alta;Sí;6;Criptomonedas;81542;Anual;Medio;Retiro
71;2023;Europa;Alemania;26;Ingeniero;385588;Alta;Sí;1;Fondos Mutuos;64818;Mensual;Medio;Ganancia Rápida
72;2022;Europa;Francia;21;Ingeniero;180402;Alta;Sí;1;Inmobiliario;13489;Mensual;Alto;Ahorro
73;2023;Norteamérica;Canadá;48;Abogado;39208;Media;Sí;6;Criptomonedas;16556;Mensual;Bajo;Ahorro
74;2023;América Latina;México;40;Abogado;22001;Baja;No;0;Fondos Mutuos;2804;Semestral;Bajo;Retiro
75;2024;América Latina;Argentina;34;Profesor;448283;Alta;No;0;Inmobiliario;19661;Semestral;Medio;Diversificación
76;2022;América Latina;Brasil;44;Diseñador;215196;Alta;Sí;2;Acciones;26571;Mensual;Medio;Ahorro
77;2023;América Latina;México;42;Arquitecto;121333;Alta;No;0;Acciones;8965;Semestral;Bajo;Retiro
78;2024;Europa;España;59;Programador;213158;Alta;Sí;1;Acciones;16309;Mensual;Alto;Retiro
79;2023;Europa;Italia;27;Abogado;426801;Alta;Sí;5;Criptomonedas;44806;Anual;Bajo;Retiro
80;2023;Norteamérica;Estados Unidos;23;Profesor;21992;Baja;Sí;6;Inmobiliario;2130;Mensual;Medio;Retiro
81;2023;América Latina;Chile;28;Empresario;418592;Alta;Sí;6;Fondos Mutuos;72851;Mensual;Bajo;Diversificación
82;2023;Norteamérica;Canadá;52;Diseñador;255453;Alta;Sí;3;Criptomonedas;69902;Semestral;Alto;Diversificación
83;2024;Norteamérica;Canadá;43;Programador;114747;Alta;Sí;4;Fondos Mutuos;6403;Mensual;Alto;Retiro
84;2022;Norteamérica;Canadá;35;Arquitecto;302139;Alta;Sí;5;Criptomonedas;81735;Anual;Medio;Diversificación
85;2024;Europa;Italia;38;Contador;253706;Alta;No;0;Acciones;19873;Anual;Bajo;Ganancia Rápida
86;2024;Europa;Italia;23;Profesor;71364;Media;No;0;Fondos Mutuos;9118;Mensual;Bajo;Ganancia Rápida
87;2024;Europa;Francia;44;Contador;63495;Media;No;0;Fondos Mutuos;31493;Semestral;Medio;Ahorro
88;2024;América Latina;México;65;Ingeniero;112714;Alta;Sí;1;Bonos;27749;Anual;Alto;Ahorro
89;2024;América Latina;Argentina;31;Profesor;244775;Alta;Sí;3;Bonos;3919;Mensual;Alto;Ganancia Rápida
90;2022;Norteamérica;Estados Unidos;54;Profesor;193032;Alta;Sí;5;Criptomonedas;52807;Anual;Medio;Ganancia Rápida
91;2024;América Latina;México;38;Estudiante;257803;Alta;Sí;5;Inmobiliario;77840;Semestral;Medio;Retiro
92;2023;Europa;Reino Unido;67;Estudiante;202591;Alta;Sí;4;Bonos;20311;Mensual;Bajo;Diversificación
93;2023;Norteamérica;Estados Unidos;44;Ingeniero;172899;Alta;No;0;Inmobiliario;39450;Anual;Medio;Retiro
94;2023;Europa;Italia;38;Profesor;325832;Alta;No;0;Acciones;38329;Anual;Alto;Retiro
95;2023;América Latina;Argentina;54;Profesor;219693;Alta;No;0;Acciones;12178;Anual;Alto;Ganancia Rápida
96;2024;América Latina;Colombia;36;Arquitecto;219484;Alta;Sí;6;Fondos Mutuos;72789;Anual;Medio;Ganancia Rápida
97;2023;América Latina;Colombia;32;Arquitecto;380144;Alta;No;0;Fondos Mutuos;49451;Mensual;Medio;Ahorro
98;2023;Europa;Reino Unido;41;Estudiante;37861;Media;Sí;3;Acciones;15874;Semestral;Alto;Diversificación
99;2024;Norteamérica;Canadá;38;Ingeniero;196916;Alta;Sí;8;Inmobiliario;81802;Anual;Alto;Retiro
100;2023;Norteamérica;Estados Unidos;28;Profesor;91144;Media;Sí;6;Bonos;41125;Anual;Alto;Retiro
101;2023;América Latina;Argentina;34;Estudiante;324910;Alta;No;0;Acciones;33342;Mensual;Medio;Ahorro
102;2024;Norteamérica;Canadá;18;Arquitecto;351887;Alta;No;0;Acciones;90754;Semestral;Bajo;Ahorro
103;2022;América Latina;México;25;Estudiante;453599;Alta;Sí;2;Criptomonedas;87466;Semestral;Alto;Ganancia Rápida
104;2024;América Latina;Brasil;45;Contador;423216;Alta;Sí;6;Acciones;89585;Anual;Alto;Ganancia Rápida
105;2022;Norteamérica;Estados Unidos;48;Arquitecto;145727;Alta;Sí;1;Bonos;6157;Anual;Medio;Retiro
106;2022;Norteamérica;Estados Unidos;42;Ingeniero;372697;Alta;No;0;Criptomonedas;9636;Semestral;Bajo;Diversificación
107;2024;Europa;Reino Unido;29;Programador;92667;Media;Sí;8;Bonos;40294;Semestral;Medio;Diversificación
108;2024;Norteamérica;Estados Unidos;49;Contador;422456;Alta;Sí;8;Bonos;37058;Mensual;Alto;Diversificación
109;2022;Norteamérica;Canadá;34;Estudiante;113301;Alta;Sí;4;Acciones;49974;Mensual;Medio;Retiro
110;2024;Europa;Alemania;29;Programador;111545;Alta;No;0;Criptomonedas;4263;Anual;Medio;Ahorro
111;2024;Europa;Reino Unido;26;Diseñador;396941;Alta;Sí;5;Fondos Mutuos;69385;Anual;Medio;Ganancia Rápida
112;2022;Europa;Reino Unido;47;Ingeniero;178526;Alta;Sí;3;Criptomonedas;39236;Anual;Medio;Retiro
113;2023;Norteamérica;Canadá;31;Estudiante;407804;Alta;No;0;Criptomonedas;87769;Mensual;Bajo;Ganancia Rápida
114;2022;Norteamérica;Canadá;52;Contador;152407;Alta;Sí;8;Inmobiliario;72321;Anual;Bajo;Ganancia Rápida
115;2022;América Latina;México;39;Diseñador;181314;Alta;No;0;Fondos Mutuos;78557;Anual;Bajo;Ahorro
116;2024;Norteamérica;Canadá;30;Contador;47197;Media;Sí;4;Inmobiliario;5573;Mensual;Alto;Ganancia Rápida
117;2024;Norteamérica;Estados Unidos;36;Diseñador;459931;Alta;Sí;3;Fondos Mutuos;96367;Semestral;Medio;Ahorro
118;2023;América Latina;Chile;34;Médico;255647;Alta;Sí;4;Fondos Mutuos;67681;Anual;Bajo;Diversificación
119;2024;América Latina;Argentina;48;Diseñador;248170;Alta;No;0;Inmobiliario;51802;Semestral;Alto;Ganancia Rápida
120;2023;Norteamérica;Canadá;39;Diseñador;65299;Media;Sí;4;Fondos Mutuos;27567;Mensual;Medio;Retiro
121;2023;América Latina;Chile;51;Empresario;46336;Media;Sí;2;Inmobiliario;1570;Semestral;Bajo;Retiro
122;2022;Norteamérica;Estados Unidos;33;Contador;263052;Alta;No;0;Fondos Mutuos;8017;Anual;Alto;Diversificación
123;2023;América Latina;Brasil;49;Abogado;209482;Alta;Sí;3;Criptomonedas;59290;Semestral;Alto;Diversificación
124;2024;Europa;Reino Unido;41;Profesor;314433;Alta;Sí;8;Inmobiliario;49981;Mensual;Medio;Ahorro
125;2024;Europa;Alemania;43;Arquitecto;285277;Alta;Sí;5;Fondos Mutuos;25534;Semestral;Bajo;Ahorro
126;2024;Norteamérica;Canadá;56;Diseñador;484075;Alta;Sí;8;Inmobiliario;5557;Anual;Bajo;Retiro
127;2022;Norteamérica;Estados Unidos;54;Arquitecto;252553;Alta;Sí;7;Criptomonedas;46893;Anual;Medio;Retiro
128;2023;Norteamérica;Estados Unidos;50;Estudiante;418242;Alta;Sí;7;Fondos Mutuos;54666;Semestral;Medio;Retiro
129;2023;América Latina;Argentina;32;Arquitecto;315166;Alta;No;0;Bonos;23759;Anual;Alto;Ahorro
130;2024;América Latina;Colombia;42;Profesor;298247;Alta;Sí;1;Inmobiliario;11027;Semestral;Medio;Diversificación
131;2022;Norteamérica;Estados Unidos;54;Abogado;283648;Alta;Sí;6;Acciones;43814;Mensual;Alto;Ahorro
132;2022;Norteamérica;Canadá;46;Contador;253229;Alta;No;0;Inmobiliario;32163;Anual;Medio;Retiro
133;2024;Europa;España;34;Médico;485219;Alta;Sí;3;Inmobiliario;44022;Anual;Alto;Diversificación
134;2023;América Latina;Colombia;69;Programador;432705;Alta;Sí;3;Bonos;13700;Anual;Medio;Ganancia Rápida
135;2023;América Latina;Colombia;27;Ingeniero;68476;Media;Sí;7;Bonos;15313;Semestral;Alto;Diversificación
136;2022;Norteamérica;Canadá;24;Contador;441415;Alta;No;0;Acciones;33931;Semestral;Alto;Retiro
137;2024;Europa;Alemania;46;Médico;141404;Alta;Sí;4;Inmobiliario;60782;Anual;Medio;Diversificación
138;2024;Europa;Alemania;34;Profesor;319110;Alta;No;0;Bonos;57868;Semestral;Alto;Diversificación
139;2022;Europa;Francia;31;Estudiante;68529;Media;No;0;Criptomonedas;11549;Anual;Bajo;Diversificación
140;2022;América Latina;Argentina;29;Profesor;326049;Alta;Sí;7;Acciones;72254;Anual;Medio;Ganancia Rápida
141;2022;América Latina;México;44;Profesor;198921;Alta;Sí;8;Acciones;29815;Semestral;Medio;Ahorro
142;2022;Norteamérica;Estados Unidos;20;Diseñador;283417;Alta;No;0;Fondos Mutuos;95511;Anual;Medio;Diversificación
143;2024;Norteamérica;Canadá;51;Empresario;294969;Alta;No;0;Inmobiliario;6757;Semestral;Alto;Diversificación
144;2022;Europa;Alemania;35;Diseñador;330673;Alta;No;0;Criptomonedas;25416;Semestral;Medio;Retiro
145;2024;Norteamérica;Canadá;35;Empresario;270424;Alta;Sí;5;Fondos Mutuos;12379;Semestral;Bajo;Diversificación
146;2022;Norteamérica;Estados Unidos;46;Médico;461441;Alta;Sí;1;Inmobiliario;35215;Mensual;Medio;Retiro
147;2022;América Latina;Brasil;30;Médico;491729;Alta;Sí;1;Fondos Mutuos;18029;Mensual;Alto;Diversificación
148;2024;Norteamérica;Canadá;46;Diseñador;68785;Media;No;0;Bonos;17426;Semestral;Bajo;Ganancia Rápida
149;2022;América Latina;México;33;Médico;80700;Media;Sí;8;Bonos;12955;Anual;Medio;Ganancia Rápida
150;2023;América Latina;Chile;25;Arquitecto;478332;Alta;Sí;3;Bonos;79990;Semestral;Alto;Diversificación
151;2022;Norteamérica;Estados Unidos;39;Programador;28365;Baja;Sí;2;Bonos;6042;Anual;Alto;Diversificación
152;2024;Europa;Reino Unido;27;Arquitecto;317710;Alta;No;0;Bonos;23148;Anual;Medio;Retiro
153;2024;Europa;España;37;Ingeniero;91951;Media;Sí;3;Acciones;35935;Mensual;Medio;Diversificación
154;2023;Norteamérica;Estados Unidos;51;Profesor;373006;Alta;Sí;8;Acciones;66764;Semestral;Medio;Ganancia Rápida
155;2024;Norteamérica;Canadá;34;Ingeniero;258074;Alta;Sí;1;Fondos Mutuos;75069;Mensual;Medio;Ahorro
156;2024;América Latina;Colombia;52;Diseñador;471709;Alta;Sí;4;Criptomonedas;62453;Anual;Alto;Ganancia Rápida
157;2023;Europa;Reino Unido;18;Empresario;396784;Alta;No;0;Fondos Mutuos;14590;Semestral;Medio;Retiro
158;2023;América Latina;México;52;Contador;90529;Media;Sí;5;Bonos;15699;Semestral;Bajo;Diversificación
159;2024;Norteamérica;Canadá;49;Estudiante;35965;Media;Sí;1;Bonos;16890;Anual;Medio;Diversificación
160;2023;América Latina;Colombia;19;Estudiante;176511;Alta;Sí;1;Fondos Mutuos;8137;Semestral;Bajo;Retiro
161;2022;Europa;Italia;35;Diseñador;50068;Media;Sí;6;Acciones;18146;Mensual;Medio;Ganancia Rápida
162;2024;Europa;Alemania;45;Contador;136350;Alta;Sí;5;Criptomonedas;6860;Mensual;Bajo;Diversificación
163;2024;Norteamérica;Estados Unidos;44;Médico;367700;Alta;Sí;3;Criptomonedas;82296;Anual;Medio;Ganancia Rápida
164;2022;Europa;Reino Unido;36;Médico;345702;Alta;Sí;7;Inmobiliario;20121;Mensual;Medio;Ganancia Rápida
165;2023;Europa;Francia;27;Programador;268111;Alta;Sí;4;Bonos;78714;Semestral;Alto;Diversificación
166;2024;América Latina;México;28;Ingeniero;490989;Alta;Sí;4;Inmobiliario;97811;Mensual;Bajo;Ahorro
167;2024;Norteamérica;Estados Unidos;42;Empresario;97139;Media;Sí;4;Bonos;18092;Semestral;Bajo;Ganancia Rápida
168;2022;Europa;Italia;22;Abogado;84383;Media;No;0;Criptomonedas;38961;Mensual;Alto;Ganancia Rápida
169;2024;Norteamérica;Canadá;31;Empresario;407262;Alta;Sí;7;Inmobiliario;94334;Mensual;Bajo;Ganancia Rápida
170;2024;Europa;Italia;34;Profesor;440436;Alta;No;0;Inmobiliario;84059;Mensual;Bajo;Retiro
171;2023;América Latina;Argentina;37;Profesor;182880;Alta;No;0;Bonos;39192;Anual;Bajo;Ahorro
172;2023;Norteamérica;Estados Unidos;41;Ingeniero;495501;Alta;No;0;Criptomonedas;89340;Mensual;Bajo;Ganancia Rápida
173;2022;Norteamérica;Estados Unidos;35;Profesor;123308;Alta;No;0;Bonos;21157;Anual;Medio;Retiro
174;2022;Norteamérica;Canadá;36;Contador;313504;Alta;Sí;6;Acciones;41994;Anual;Bajo;Diversificación
175;2024;América Latina;Colombia;30;Diseñador;300028;Alta;Sí;3;Fondos Mutuos;3138;Anual;Alto;Diversificación
176;2022;Europa;Francia;43;Programador;169854;Alta;Sí;7;Fondos Mutuos;50312;Semestral;Alto;Ahorro
177;2022;Europa;Italia;51;Programador;483556;Alta;Sí;6;Inmobiliario;86011;Mensual;Medio;Ahorro
178;2023;América Latina;Argentina;41;Arquitecto;127663;Alta;No;0;Criptomonedas;56402;Semestral;Bajo;Ganancia Rápida
179;2024;América Latina;Colombia;51;Diseñador;270545;Alta;No;0;Fondos Mutuos;87095;Semestral;Alto;Diversificación
180;2023;Europa;Italia;24;Diseñador;318873;Alta;No;0;Bonos;52777;Anual;Medio;Diversificación
181;2024;América Latina;México;44;Contador;275042;Alta;No;0;Acciones;73526;Mensual;Alto;Ganancia Rápida
182;2023;Norteamérica;Estados Unidos;45;Programador;372726;Alta;Sí;1;Fondos Mutuos;28185;Semestral;Medio;Retiro
183;2023;Europa;España;44;Médico;140069;Alta;Sí;7;Fondos Mutuos;69606;Anual;Bajo;Diversificación
184;2023;Europa;Italia;55;Abogado;386792;Alta;Sí;5;Fondos Mutuos;41030;Mensual;Medio;Ganancia Rápida
185;2024;Norteamérica;Estados Unidos;35;Profesor;43914;Media;Sí;7;Acciones;3047;Semestral;Alto;Retiro
186;2023;Europa;Italia;29;Empresario;183997;Alta;No;0;Fondos Mutuos;2976;Anual;Alto;Retiro
187;2023;América Latina;Argentina;29;Contador;36774;Media;Sí;6;Inmobiliario;12738;Mensual;Medio;Retiro
188;2023;América Latina;Chile;25;Empresario;268959;Alta;Sí;1;Criptomonedas;94571;Semestral;Medio;Ganancia Rápida
189;2022;Europa;Reino Unido;48;Estudiante;482962;Alta;Sí;7;Inmobiliario;19105;Anual;Bajo;Retiro
190;2024;Norteamérica;Canadá;34;Estudiante;126462;Alta;No;0;Inmobiliario;16947;Mensual;Alto;Diversificación
191;2022;América Latina;Brasil;48;Diseñador;345603;Alta;Sí;4;Bonos;33002;Semestral;Alto;Retiro
192;2024;América Latina;Chile;36;Empresario;143906;Alta;Sí;1;Fondos Mutuos;12248;Semestral;Bajo;Diversificación
193;2023;Europa;Alemania;50;Programador;100898;Alta;Sí;5;Inmobiliario;13184;Mensual;Bajo;Ganancia Rápida
194;2023;Norteamérica;Canadá;30;Contador;59461;Media;Sí;2;Fondos Mutuos;18831;Anual;Medio;Retiro
195;2024;América Latina;Chile;40;Programador;494031;Alta;Sí;1;Criptomonedas;61055;Anual;Medio;Diversificación
196;2023;América Latina;Brasil;23;Ingeniero;175569;Alta;Sí;2;Fondos Mutuos;16452;Mensual;Alto;Ahorro
197;2022;Europa;Italia;49;Abogado;240800;Alta;Sí;4;Criptomonedas;10068;Anual;Medio;Ahorro
198;2023;Europa;Alemania;51;Médico;150802;Alta;Sí;5;Criptomonedas;49252;Mensual;Alto;Diversificación
199;2023;Norteamérica;Canadá;37;Programador;484018;Alta;Sí;5;Acciones;25031;Semestral;Medio;Diversificación
200;2023;Norteamérica;Estados Unidos;43;Arquitecto;116559;Alta;Sí;5;Acciones;7985;Anual;Alto;Retiro
201;2024;América Latina;México;33;Arquitecto;245436;Alta;Sí;5;Criptomonedas;19733;Mensual;Alto;Ahorro
202;2024;América Latina;Brasil;49;Contador;112688;Alta;Sí;1;Inmobiliario;1793;Anual;Medio;Ahorro
203;2022;Europa;España;28;Arquitecto;393722;Alta;Sí;8;Criptomonedas;28759;Semestral;Medio;Diversificación
204;2024;Europa;España;33;Programador;465810;Alta;No;0;Bonos;22755;Semestral;Alto;Retiro
205;2024;Europa;Italia;61;Ingeniero;348495;Alta;Sí;7;Inmobiliario;6827;Mensual;Alto;Diversificación
206;2022;América Latina;Colombia;59;Profesor;405215;Alta;No;0;Fondos Mutuos;78025;Semestral;Medio;Ahorro
207;2023;Europa;España;42;Ingeniero;393916;Alta;No;0;Acciones;15988;Semestral;Alto;Retiro
208;2024;América Latina;Brasil;40;Abogado;224191;Alta;Sí;8;Fondos Mutuos;87357;Anual;Alto;Retiro
209;2022;América Latina;Colombia;49;Arquitecto;308755;Alta;Sí;4;Fondos Mutuos;59523;Anual;Bajo;Diversificación
210;2022;Europa;Italia;28;Programador;375578;Alta;Sí;3;Criptomonedas;77089;Semestral;Medio;Retiro
211;2023;América Latina;Brasil;39;Empresario;455206;Alta;Sí;5;Inmobiliario;60995;Mensual;Medio;Diversificación
212;2024;Europa;Francia;34;Estudiante;480371;Alta;Sí;1;Criptomonedas;56377;Mensual;Alto;Diversificación
213;2022;Europa;Alemania;49;Ingeniero;205104;Alta;No;0;Criptomonedas;66786;Semestral;Alto;Ganancia Rápida
214;2023;Norteamérica;Estados Unidos;28;Arquitecto;102375;Alta;Sí;8;Inmobiliario;32812;Anual;Bajo;Ahorro
215;2022;América Latina;Argentina;42;Empresario;337392;Alta;Sí;5;Inmobiliario;65833;Anual;Bajo;Diversificación
216;2023;América Latina;México;43;Programador;281452;Alta;Sí;4;Bonos;92699;Anual;Bajo;Retiro
217;2023;Europa;Alemania;38;Contador;102083;Alta;Sí;7;Acciones;16791;Anual;Alto;Ganancia Rápida
218;2022;América Latina;México;57;Profesor;97476;Media;No;0;Fondos Mutuos;20555;Mensual;Bajo;Ganancia Rápida
219;2022;Norteamérica;Canadá;33;Profesor;460784;Alta;Sí;8;Inmobiliario;62428;Semestral;Medio;Ganancia Rápida
220;2023;Europa;Italia;59;Arquitecto;172967;Alta;Sí;7;Acciones;10612;Mensual;Medio;Ganancia Rápida
221;2023;Europa;Italia;48;Profesor;318335;Alta;Sí;8;Criptomonedas;3599;Mensual;Medio;Diversificación
222;2024;Norteamérica;Canadá;41;Arquitecto;314634;Alta;Sí;2;Acciones;2138;Mensual;Alto;Ahorro
223;2023;América Latina;Colombia;33;Diseñador;184631;Alta;No;0;Inmobiliario;50245;Mensual;Bajo;Ganancia Rápida
224;2024;Europa;Alemania;43;Programador;361144;Alta;Sí;7;Fondos Mutuos;27808;Anual;Alto;Ganancia Rápida
225;2022;Norteamérica;Estados Unidos;37;Ingeniero;12027;Baja;Sí;5;Bonos;3502;Mensual;Alto;Retiro
