Región;País;Rango de Edad;Profesión;Clase Social; Ingresos Anuales (USD) ;Invierte;Instrumento de Inversión
América Latina;México;26-35;Contador;Baja; $ 6.501,91 ;Si;Oro
América Latina;Brasil;56-65;Abogado;Baja; $ 16.123,97 ;No;No invierte
Europa;España;46-55;Médico;Alta; $ 491.021,47 ;Si;Criptomonedas
América Latina;México;66+;Contador;Media; $ 44.422,85 ;Si;No invierte
América Latina;Chile;56-65;Funcionario;Media; $ 41.075,87 ;No;No invierte
NorteAmérica;EE.UU.;18-25;Científico;Baja; $ 12.650,34 ;Si;Oro
Europa;Países Bajos;66+;Científico;Alta; $ 262.448,43 ;No;No invierte
NorteAmérica;EE.UU.;36-45;Científico;Alta; $ 385.288,60 ;Si;No invierte
América Latina;Brasil;18-25;Contador;Alta; $ 229.539,49 ;No;No invierte
NorteAmérica;Canadá;56-65;Abogado;Alta; $ 474.722,30 ;No;No invierte
América Latina;México;46-55;Artista;Media; $ 65.343,65 ;No;No invierte
NorteAmérica;Canadá;46-55;Contador;Alta; $ 491.772,01 ;Si;Criptomonedas
América Latina;Chile;46-55;Abogado;Media; $ 32.909,68 ;Si;No invierte
NorteAmérica;EE.UU.;56-65;Contador;Alta; $ 186.354,08 ;No;No invierte
América Latina;Chile;36-45;Artista;Baja; $ 17.548,83 ;No;No invierte
América Latina;México;26-35;Contador;Baja; $ 6.159,87 ;Si;Criptomonedas
América Latina;Chile;66+;Médico;Alta; $ 91.276,53 ;Si;Acciones
América Latina;Perú;26-35;Ingeniero;Baja; $ 9.941,63 ;Si;Oro
NorteAmérica;EE.UU.;46-55;Empresario;Media; $ 24.692,49 ;Si;Bonos
Europa;Italia;36-45;Contador;Baja; $ 7.222,17 ;Si;Criptomonedas
Europa;Reino Unido;56-65;Funcionario;Media; $ 61.464,24 ;Si;Fondos de inversiÃ³n
América Latina;Argentina;56-65;Médico;Alta; $ 280.923,04 ;Si;Oro
NorteAmérica;Canadá;36-45;Empresario;Baja; $ 19.284,56 ;No;No invierte
América Latina;México;56-65;Desarrollador;Baja; $ 5.033,10 ;No;No invierte
Europa;Alemania;26-35;Docente;Baja; $ 18.754,44 ;No;No invierte
NorteAmérica;EE.UU.;66+;Docente;Alta; $ 94.236,33 ;Si;Criptomonedas
Europa;Francia;26-35;Funcionario;Media; $ 54.858,24 ;Si;Acciones
América Latina;México;46-55;Ingeniero;Media; $ 79.570,08 ;Si;No invierte
América Latina;Colombia;46-55;Empresario;Alta; $ 117.661,12 ;Si;Bonos
América Latina;Colombia;36-45;Científico;Media; $ 47.114,23 ;No;No invierte
América Latina;Colombia;66+;Desarrollador;Media; $ 58.221,70 ;No;No invierte
NorteAmérica;Canadá;26-35;Abogado;Alta; $ 167.194,05 ;No;No invierte
NorteAmérica;EE.UU.;18-25;Abogado;Media; $ 20.492,55 ;Si;Acciones
Europa;España;18-25;Abogado;Media; $ 57.311,36 ;Si;Oro
NorteAmérica;Canadá;66+;Desarrollador;Alta; $ 248.888,11 ;Si;Oro
América Latina;Perú;56-65;Ingeniero;Baja; $ 8.847,91 ;Si;Oro
NorteAmérica;EE.UU.;36-45;Ingeniero;Baja; $ 11.729,20 ;Si;Acciones
NorteAmérica;Canadá;46-55;Docente;Media; $ 30.370,68 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;56-65;Empresario;Media; $ 57.408,29 ;No;No invierte
América Latina;Argentina;26-35;Desarrollador;Baja; $ 18.932,22 ;No;No invierte
NorteAmérica;Canadá;66+;Abogado;Baja; $ 19.609,52 ;Si;Oro
América Latina;Chile;56-65;Contador;Baja; $ 12.883,92 ;Si;No invierte
Europa;Italia;66+;Funcionario;Alta; $ 353.634,22 ;Si;No invierte
Europa;Italia;36-45;Funcionario;Media; $ 65.322,19 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;46-55;Empresario;Alta; $ 241.614,93 ;No;No invierte
América Latina;Brasil;56-65;Empresario;Alta; $ 274.322,83 ;Si;Bienes Raíces
Europa;Reino Unido;26-35;Médico;Alta; $ 252.365,98 ;No;No invierte
América Latina;Argentina;18-25;Funcionario;Alta; $ 457.375,59 ;No;No invierte
América Latina;Brasil;56-65;Funcionario;Alta; $ 139.941,92 ;No;No invierte
NorteAmérica;Canadá;66+;Artista;Alta; $ 363.623,98 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;36-45;Médico;Alta; $ 120.645,33 ;Si;No invierte
Europa;Francia;66+;Empresario;Alta; $ 433.668,65 ;Si;Bienes Raíces
América Latina;Brasil;26-35;Funcionario;Baja; $ 11.382,08 ;No;No invierte
NorteAmérica;Canadá;56-65;Docente;Media; $ 28.547,34 ;Si;Acciones
América Latina;México;26-35;Ingeniero;Alta; $ 198.822,46 ;Si;Acciones
Europa;Italia;56-65;Docente;Media; $ 44.003,37 ;Si;No invierte
América Latina;Perú;46-55;Docente;Media; $ 64.379,33 ;Si;Fondos de inversiÃ³n
Europa;Reino Unido;66+;Científico;Alta; $ 376.037,68 ;Si;Acciones
NorteAmérica;EE.UU.;26-35;Médico;Baja; $ 14.599,85 ;Si;Oro
NorteAmérica;Canadá;26-35;Docente;Alta; $ 130.874,98 ;Si;Bonos
América Latina;Argentina;66+;Científico;Alta; $ 91.505,80 ;No;No invierte
Europa;Países Bajos;26-35;Docente;Media; $ 28.483,55 ;Si;Bienes Raíces
América Latina;México;18-25;Médico;Baja; $ 19.662,89 ;No;No invierte
Europa;Países Bajos;26-35;Médico;Media; $ 49.970,74 ;Si;Bienes Raíces
NorteAmérica;Canadá;46-55;Desarrollador;Media; $ 66.107,70 ;No;No invierte
América Latina;Brasil;56-65;Desarrollador;Media; $ 67.367,63 ;No;No invierte
América Latina;México;46-55;Ingeniero;Alta; $ 410.049,17 ;Si;No invierte
Europa;Francia;26-35;Abogado;Alta; $ 285.560,47 ;Si;Bonos
Europa;Francia;36-45;Docente;Media; $ 25.213,68 ;No;No invierte
América Latina;Argentina;46-55;Médico;Baja; $ 17.410,23 ;No;No invierte
Europa;Italia;18-25;Ingeniero;Media; $ 53.573,84 ;No;No invierte
América Latina;Colombia;46-55;Docente;Media; $ 54.086,91 ;Si;Bonos
NorteAmérica;Canadá;26-35;Abogado;Media; $ 78.074,33 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;36-45;Funcionario;Baja; $ 8.044,36 ;Si;Bienes Raíces
América Latina;Brasil;26-35;Funcionario;Media; $ 71.691,61 ;Si;Bienes Raíces
América Latina;México;56-65;Abogado;Baja; $ 6.850,99 ;Si;No invierte
NorteAmérica;Canadá;46-55;Artista;Baja; $ 9.096,00 ;Si;Bienes Raíces
América Latina;Argentina;56-65;Artista;Baja; $ 13.586,51 ;Si;Acciones
Europa;España;66+;Artista;Baja; $ 13.035,26 ;No;No invierte
NorteAmérica;Canadá;18-25;Artista;Alta; $ 165.368,24 ;Si;Bonos
América Latina;Colombia;18-25;Empresario;Alta; $ 394.914,28 ;Si;Bienes Raíces
América Latina;Chile;18-25;Contador;Baja; $ 17.521,74 ;No;No invierte
América Latina;México;26-35;Desarrollador;Media; $ 61.010,80 ;No;No invierte
NorteAmérica;Canadá;26-35;Artista;Baja; $ 17.203,93 ;No;No invierte
NorteAmérica;Canadá;36-45;Artista;Alta; $ 124.337,40 ;Si;No invierte
América Latina;Colombia;26-35;Científico;Baja; $ 6.554,57 ;Si;Bonos
NorteAmérica;EE.UU.;56-65;Artista;Baja; $ 8.228,20 ;No;No invierte
NorteAmérica;EE.UU.;36-45;Contador;Alta; $ 294.931,95 ;Si;Acciones
NorteAmérica;EE.UU.;46-55;Empresario;Alta; $ 180.122,16 ;No;No invierte
NorteAmérica;EE.UU.;66+;Ingeniero;Baja; $ 13.535,21 ;Si;Oro
América Latina;Brasil;18-25;Abogado;Alta; $ 138.458,92 ;Si;Bonos
NorteAmérica;Canadá;66+;Científico;Alta; $ 286.763,55 ;Si;Bonos
Europa;Reino Unido;36-45;Empresario;Media; $ 29.149,58 ;Si;Criptomonedas
Europa;Alemania;26-35;Docente;Media; $ 32.527,44 ;Si;No invierte
América Latina;México;56-65;Empresario;Media; $ 66.255,29 ;No;No invierte
Europa;España;18-25;Docente;Baja; $ 5.857,86 ;Si;Acciones
NorteAmérica;Canadá;26-35;Abogado;Baja; $ 7.449,73 ;Si;Acciones
Europa;Reino Unido;56-65;Docente;Baja; $ 5.638,36 ;Si;Fondos de inversiÃ³n
América Latina;Argentina;36-45;Contador;Baja; $ 15.000,50 ;Si;No invierte
América Latina;Chile;66+;Funcionario;Baja; $ 9.664,75 ;Si;Fondos de inversiÃ³n
Europa;Alemania;66+;Empresario;Media; $ 41.340,11 ;No;No invierte
Europa;Reino Unido;46-55;Científico;Media; $ 44.990,40 ;Si;Fondos de inversiÃ³n
NorteAmérica;EE.UU.;46-55;Funcionario;Alta; $ 412.244,99 ;Si;Fondos de inversiÃ³n
América Latina;Argentina;26-35;Ingeniero;Baja; $ 17.217,59 ;Si;No invierte
Europa;Alemania;36-45;Docente;Media; $ 43.931,43 ;No;No invierte
América Latina;Colombia;26-35;Desarrollador;Alta; $ 346.261,32 ;No;No invierte
Europa;Francia;66+;Empresario;Alta; $ 425.469,05 ;No;No invierte
América Latina;Colombia;56-65;Abogado;Media; $ 28.460,89 ;No;No invierte
Europa;Países Bajos;46-55;Artista;Media; $ 38.316,73 ;Si;Oro
NorteAmérica;EE.UU.;56-65;Contador;Media; $ 50.152,59 ;Si;No invierte
Europa;Países Bajos;36-45;Abogado;Alta; $ 140.393,52 ;Si;Bonos
América Latina;Chile;66+;Científico;Baja; $ 19.107,71 ;Si;No invierte
NorteAmérica;EE.UU.;26-35;Abogado;Alta; $ 288.861,06 ;Si;Bienes Raíces
Europa;Reino Unido;18-25;Contador;Media; $ 27.707,36 ;Si;Bienes Raíces
NorteAmérica;Canadá;36-45;Científico;Media; $ 59.920,96 ;Si;No invierte
Europa;Países Bajos;18-25;Empresario;Baja; $ 16.376,01 ;No;No invierte
NorteAmérica;EE.UU.;46-55;Funcionario;Alta; $ 250.163,48 ;Si;Oro
NorteAmérica;Canadá;36-45;Ingeniero;Baja; $ 13.575,87 ;Si;Acciones
Europa;Italia;66+;Contador;Alta; $ 368.308,33 ;No;No invierte
NorteAmérica;EE.UU.;66+;Científico;Media; $ 54.801,95 ;No;No invierte
América Latina;Perú;46-55;Desarrollador;Alta; $ 209.635,40 ;Si;Oro
NorteAmérica;Canadá;46-55;Docente;Baja; $ 18.465,20 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;36-45;Contador;Baja; $ 14.442,01 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;56-65;Empresario;Baja; $ 6.794,92 ;No;No invierte
NorteAmérica;Canadá;18-25;Científico;Media; $ 77.280,09 ;Si;Fondos de inversiÃ³n
Europa;Países Bajos;46-55;Abogado;Alta; $ 388.374,42 ;No;No invierte
América Latina;Perú;66+;Abogado;Alta; $ 110.585,78 ;Si;No invierte
NorteAmérica;EE.UU.;26-35;Empresario;Media; $ 25.380,75 ;Si;Oro
NorteAmérica;Canadá;36-45;Empresario;Baja; $ 10.872,63 ;No;No invierte
Europa;Francia;66+;Contador;Baja; $ 10.172,46 ;Si;Criptomonedas
Europa;Alemania;56-65;Docente;Alta; $ 326.114,28 ;Si;Oro
NorteAmérica;EE.UU.;26-35;Médico;Baja; $ 5.572,38 ;Si;Oro
Europa;España;46-55;Docente;Alta; $ 250.590,41 ;No;No invierte
NorteAmérica;Canadá;26-35;Abogado;Baja; $ 11.250,55 ;Si;Bonos
América Latina;Argentina;36-45;Artista;Baja; $ 6.391,16 ;Si;Oro
NorteAmérica;Canadá;56-65;Docente;Media; $ 79.696,65 ;Si;No invierte
NorteAmérica;Canadá;66+;Empresario;Alta; $ 235.214,64 ;Si;Bienes Raíces
Europa;Países Bajos;18-25;Contador;Baja; $ 16.537,57 ;Si;Acciones
Europa;Italia;26-35;Funcionario;Media; $ 74.110,16 ;Si;Oro
Europa;Países Bajos;66+;Empresario;Baja; $ 12.782,97 ;Si;Bienes Raíces
NorteAmérica;Canadá;46-55;Funcionario;Media; $ 74.640,80 ;Si;No invierte
NorteAmérica;Canadá;46-55;Científico;Baja; $ 6.277,06 ;Si;Criptomonedas
NorteAmérica;Canadá;26-35;Empresario;Baja; $ 13.533,40 ;No;No invierte
NorteAmérica;Canadá;26-35;Artista;Media; $ 52.732,10 ;Si;Bonos
Europa;Alemania;26-35;Funcionario;Alta; $ 368.772,49 ;Si;Criptomonedas
Europa;Francia;66+;Ingeniero;Alta; $ 314.754,02 ;Si;No invierte
Europa;Alemania;66+;Científico;Alta; $ 394.980,57 ;Si;Bonos
NorteAmérica;Canadá;46-55;Científico;Alta; $ 302.813,19 ;Si;Fondos de inversiÃ³n
Europa;Alemania;46-55;Abogado;Baja; $ 6.996,85 ;Si;No invierte
NorteAmérica;Canadá;26-35;Ingeniero;Baja; $ 14.694,98 ;Si;Criptomonedas
NorteAmérica;Canadá;18-25;Abogado;Baja; $ 14.063,17 ;Si;Criptomonedas
Europa;Reino Unido;26-35;Empresario;Baja; $ 7.618,41 ;Si;Acciones
Europa;Francia;66+;Ingeniero;Media; $ 69.513,81 ;Si;No invierte
América Latina;Chile;56-65;Docente;Media; $ 77.892,24 ;No;No invierte
América Latina;Brasil;66+;Abogado;Media; $ 56.038,45 ;No;No invierte
NorteAmérica;EE.UU.;18-25;Ingeniero;Baja; $ 16.577,01 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;56-65;Artista;Baja; $ 16.288,22 ;No;No invierte
América Latina;México;66+;Abogado;Baja; $ 17.921,26 ;No;No invierte
América Latina;Argentina;46-55;Abogado;Media; $ 72.622,59 ;Si;No invierte
Europa;Reino Unido;26-35;Científico;Alta; $ 214.919,95 ;Si;Bonos
Europa;Francia;66+;Ingeniero;Alta; $ 292.664,55 ;Si;Bienes Raíces
América Latina;Perú;66+;Desarrollador;Baja; $ 10.638,40 ;Si;Acciones
América Latina;México;66+;Docente;Media; $ 52.823,57 ;Si;No invierte
NorteAmérica;EE.UU.;18-25;Funcionario;Alta; $ 385.139,28 ;Si;Oro
NorteAmérica;Canadá;36-45;Desarrollador;Media; $ 71.018,28 ;Si;Acciones
NorteAmérica;Canadá;46-55;Artista;Baja; $ 10.279,81 ;Si;Criptomonedas
Europa;Francia;66+;Ingeniero;Baja; $ 18.383,93 ;Si;Acciones
NorteAmérica;EE.UU.;66+;Docente;Baja; $ 11.828,39 ;No;No invierte
NorteAmérica;EE.UU.;18-25;Contador;Baja; $ 10.417,35 ;Si;Oro
Europa;Francia;66+;Científico;Media; $ 46.839,15 ;No;No invierte
América Latina;Argentina;18-25;Contador;Alta; $ 338.735,39 ;No;No invierte
América Latina;Colombia;26-35;Científico;Alta; $ 418.621,52 ;Si;Bienes Raíces
Europa;Alemania;66+;Médico;Media; $ 43.641,00 ;No;No invierte
Europa;España;26-35;Artista;Media; $ 33.836,86 ;Si;Fondos de inversiÃ³n
América Latina;México;18-25;Empresario;Alta; $ 412.977,19 ;Si;No invierte
Europa;Francia;56-65;Abogado;Media; $ 27.403,21 ;Si;Acciones
NorteAmérica;EE.UU.;26-35;Empresario;Alta; $ 226.801,04 ;No;No invierte
NorteAmérica;Canadá;36-45;Científico;Alta; $ 100.184,86 ;Si;Criptomonedas
NorteAmérica;Canadá;66+;Abogado;Baja; $ 17.967,95 ;Si;Acciones
América Latina;Argentina;56-65;Artista;Media; $ 66.517,70 ;No;No invierte
Europa;España;18-25;Funcionario;Alta; $ 165.470,82 ;Si;Oro
América Latina;Chile;46-55;Contador;Baja; $ 10.272,92 ;Si;No invierte
América Latina;Perú;18-25;Empresario;Baja; $ 14.948,20 ;Si;Fondos de inversiÃ³n
América Latina;Argentina;26-35;Empresario;Baja; $ 17.906,84 ;No;No invierte
América Latina;Brasil;66+;Docente;Media; $ 24.221,47 ;Si;Bonos
Europa;Alemania;66+;Científico;Baja; $ 13.624,87 ;Si;Oro
América Latina;Perú;36-45;Contador;Baja; $ 6.791,63 ;Si;Criptomonedas
América Latina;Chile;56-65;Desarrollador;Alta; $ 167.856,99 ;No;No invierte
América Latina;Argentina;56-65;Científico;Baja; $ 10.065,82 ;No;No invierte
América Latina;Brasil;18-25;Empresario;Media; $ 73.824,02 ;No;No invierte
NorteAmérica;Canadá;46-55;Médico;Baja; $ 16.480,08 ;Si;Criptomonedas
NorteAmérica;EE.UU.;26-35;Artista;Media; $ 70.197,47 ;No;No invierte
Europa;Italia;56-65;Ingeniero;Media; $ 33.408,80 ;No;No invierte
América Latina;Perú;46-55;Docente;Baja; $ 19.091,86 ;No;No invierte
NorteAmérica;EE.UU.;66+;Funcionario;Alta; $ 200.752,57 ;Si;Bienes Raíces
Europa;Francia;18-25;Empresario;Baja; $ 6.434,33 ;No;No invierte
NorteAmérica;EE.UU.;26-35;Docente;Media; $ 21.174,33 ;Si;Fondos de inversiÃ³n
América Latina;Perú;46-55;Médico;Baja; $ 14.164,63 ;Si;No invierte
América Latina;Argentina;56-65;Funcionario;Alta; $ 394.192,08 ;Si;Bienes Raíces
América Latina;Argentina;18-25;Funcionario;Media; $ 36.368,08 ;Si;Bonos
Europa;Italia;56-65;Artista;Media; $ 25.001,57 ;Si;Oro
NorteAmérica;Canadá;36-45;Artista;Media; $ 46.702,61 ;Si;Fondos de inversiÃ³n
Europa;Italia;46-55;Médico;Media; $ 28.833,20 ;No;No invierte
NorteAmérica;Canadá;26-35;Contador;Media; $ 53.696,97 ;Si;No invierte
Europa;Italia;26-35;Empresario;Alta; $ 88.709,64 ;Si;Fondos de inversiÃ³n
Europa;Países Bajos;66+;Científico;Alta; $ 271.979,94 ;Si;Oro
NorteAmérica;EE.UU.;56-65;Funcionario;Media; $ 67.024,80 ;Si;Bonos
Europa;Francia;66+;Contador;Media; $ 63.179,35 ;Si;No invierte
NorteAmérica;EE.UU.;46-55;Abogado;Media; $ 57.956,52 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;66+;Médico;Media; $ 60.436,61 ;Si;Oro
América Latina;Colombia;18-25;Docente;Baja; $ 5.702,06 ;Si;Bonos
NorteAmérica;EE.UU.;18-25;Empresario;Baja; $ 18.883,70 ;Si;Bonos
Europa;Alemania;36-45;Funcionario;Baja; $ 12.425,06 ;Si;No invierte
América Latina;Colombia;18-25;Contador;Baja; $ 7.025,77 ;Si;No invierte
Europa;Italia;18-25;Contador;Alta; $ 127.275,39 ;Si;Fondos de inversiÃ³n
América Latina;Chile;56-65;Abogado;Alta; $ 408.689,72 ;Si;No invierte
NorteAmérica;Canadá;26-35;Abogado;Alta; $ 163.679,24 ;Si;No invierte
Europa;Alemania;18-25;Contador;Baja; $ 16.638,36 ;Si;Oro
Europa;Países Bajos;66+;Funcionario;Alta; $ 340.496,12 ;No;No invierte
Europa;Francia;36-45;Artista;Media; $ 63.926,10 ;No;No invierte
Europa;Países Bajos;18-25;Abogado;Alta; $ 482.428,98 ;No;No invierte
Europa;España;18-25;Desarrollador;Baja; $ 10.239,01 ;Si;Bienes Raíces
América Latina;Perú;46-55;Científico;Media; $ 47.822,96 ;Si;No invierte
Europa;España;56-65;Desarrollador;Alta; $ 203.038,70 ;Si;Bienes Raíces
NorteAmérica;Canadá;36-45;Abogado;Baja; $ 5.483,45 ;Si;Oro
NorteAmérica;Canadá;46-55;Ingeniero;Alta; $ 242.219,04 ;Si;No invierte
NorteAmérica;Canadá;46-55;Médico;Baja; $ 11.477,92 ;Si;Acciones
NorteAmérica;EE.UU.;46-55;Médico;Alta; $ 348.600,53 ;No;No invierte
Europa;Alemania;36-45;Médico;Baja; $ 9.463,60 ;No;No invierte
Europa;Francia;66+;Desarrollador;Media; $ 24.920,74 ;No;No invierte
América Latina;México;56-65;Empresario;Alta; $ 241.513,91 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;46-55;Científico;Alta; $ 102.428,10 ;No;No invierte
NorteAmérica;Canadá;46-55;Médico;Baja; $ 10.025,89 ;Si;Bienes Raíces
Europa;Reino Unido;56-65;Desarrollador;Baja; $ 11.884,73 ;No;No invierte
Europa;Italia;46-55;Funcionario;Media; $ 29.891,82 ;Si;Oro
NorteAmérica;Canadá;18-25;Docente;Alta; $ 287.607,57 ;Si;Bienes Raíces
NorteAmérica;Canadá;36-45;Ingeniero;Media; $ 69.831,92 ;No;No invierte
Europa;Italia;56-65;Abogado;Baja; $ 5.678,25 ;No;No invierte
NorteAmérica;EE.UU.;18-25;Ingeniero;Media; $ 46.571,83 ;Si;No invierte
América Latina;Argentina;56-65;Contador;Alta; $ 356.720,99 ;Si;Criptomonedas
América Latina;México;56-65;Contador;Media; $ 51.398,26 ;Si;Acciones
NorteAmérica;Canadá;66+;Científico;Baja; $ 7.665,44 ;Si;Acciones
Europa;Alemania;26-35;Abogado;Media; $ 61.956,45 ;No;No invierte
Europa;Países Bajos;18-25;Ingeniero;Media; $ 28.677,26 ;No;No invierte
Europa;Francia;26-35;Desarrollador;Alta; $ 122.578,28 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;46-55;Científico;Media; $ 63.216,08 ;Si;No invierte
América Latina;Argentina;66+;Docente;Alta; $ 213.259,66 ;Si;Bonos
América Latina;Argentina;46-55;Científico;Baja; $ 8.710,92 ;No;No invierte
NorteAmérica;Canadá;36-45;Empresario;Media; $ 20.772,13 ;No;No invierte
América Latina;Argentina;66+;Ingeniero;Media; $ 73.429,58 ;No;No invierte
América Latina;Colombia;36-45;Empresario;Baja; $ 17.326,15 ;Si;Criptomonedas
América Latina;Chile;18-25;Empresario;Baja; $ 15.504,63 ;Si;Fondos de inversiÃ³n
Europa;Alemania;56-65;Científico;Baja; $ 16.296,07 ;Si;Bonos
NorteAmérica;EE.UU.;36-45;Contador;Alta; $ 216.959,47 ;Si;Oro
Europa;Francia;26-35;Funcionario;Media; $ 28.424,65 ;Si;Bonos
NorteAmérica;Canadá;18-25;Artista;Baja; $ 10.461,20 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;56-65;Médico;Alta; $ 426.144,04 ;Si;Bonos
NorteAmérica;EE.UU.;36-45;Ingeniero;Alta; $ 452.285,91 ;Si;Criptomonedas
América Latina;Brasil;18-25;Empresario;Media; $ 78.360,06 ;No;No invierte
Europa;España;56-65;Contador;Alta; $ 102.413,82 ;Si;Oro
América Latina;Brasil;46-55;Científico;Media; $ 57.876,26 ;Si;Fondos de inversiÃ³n
NorteAmérica;EE.UU.;66+;Desarrollador;Alta; $ 429.753,89 ;Si;Acciones
Europa;Alemania;26-35;Abogado;Baja; $ 12.510,03 ;No;No invierte
América Latina;Brasil;46-55;Contador;Alta; $ 433.482,15 ;Si;Oro
